reep_id,sofascore_id
reep_p21f2656a,857738
reep_p9602b614,985156
reep_pafc80fbd,984624
reep_p97fb302b,34639
reep_p37d8e6cf,1150051
reep_pbcbb12b0,990550
reep_p4d8d9462,893008
reep_paac04035,1014225
reep_pac1746d3,1018822
reep_p817a3fa9,905351
reep_pdf3742ea,910031
reep_p43f4a00e,838629
reep_pe426d952,758608
reep_p3ecad1b2,946888
reep_p00c247fd,833352
reep_p8c7538ce,845074
reep_pea8ee9f1,22209
reep_p4c706476,226986
reep_p0c3f8fa6,952600
reep_pc30c1c9c,1144329
